name,ticker_symbol,cik
BEAZER HOMES USA INC,BZH,915840
"AURASOURCE, INC.",ARAO,1083922
ARAMARK,ARMK,1584509
AMERICAN LORAIN CORP,ALN,1117057
AMERICA GREAT HEALTH,AAGH,1098009
ALMOST NEVER FILMS INC.,HLWD,1422768
AIM EXPLORATION INC.,AEXE,1545232
"ADVAXIS, INC.",ADXS,1100397
ADAMA TECHNOLOGIES CORP,ADAC,1422222
AUTOZONE INC,AZO,866787
ATMOS ENERGY CORP,ATO,731802
ASIA PROPERTIES INC,ASPZ,1070789
AS-IP TECH INC,IPTK,1067873
ARETE INDUSTRIES INC,ARET,820901
AMTECH SYSTEMS INC,ASYS,720500
AMCON DISTRIBUTING CO,DIT,928465
ALR TECHNOLOGIES INC.,ALRT,1087022
AECOM,ACM,868857
ACUITY BRANDS INC,AYI,1144215
"ESSA BANCORP, INC.",ESSA,1382230
EMERSON ELECTRIC CO,EMR,32604
ECOLOGY & ENVIRONMENT INC,EEI,809933
"DIGIPATH,INC.",DIGP,1502966
"DARKSTAR VENTURES, INC.",DAVC,1530163
DEXTERA SURGICAL INC,DXTRQ,1178104
DEERE & CO,DE,315189
DEEP WELL OIL & GAS INC,DWOG,869495
DATASEA INC.,DTSSD,1631282
DAILY JOURNAL CORP,DJCO,783412
"COMMUNITY FIRST BANCSHARES, INC.",CFBI,1691507
"CLEARFIELD, INC.",CLFD,796505
CITIZENS COMMUNITY BANCORP INC.,CZWI,1367859
"CAPITAL ART, INC.",CAPA,1527844
CSA HOLDINGS INC.,CSAX,1586988
COHERENT INC,COHR,21510
"CLOUDCOMMERCE, INC.",CLWD,743758
CIENA CORP,CIEN,936395
CHASE CORP,CCF,830524
CENTRAL GARDEN & PET CO,CENT,887733
CEMTREX INC,CETX,1435064
CALAVO GROWERS INC,CVGW,1133470
CABOT CORP,CBT,16040
"BRIDGELINE DIGITAL, INC.",BLIN,1378590
BLUE BIRD CORP,BLBD,1589526
"BESPOKE EXTRACTS, INC.",BSPK,1409197
BARREL ENERGY INC.,BRLL,1631463
"JRJR33, INC.",JRJR,1403085
JABIL INC,JBL,898293
"INTERLINK PLUS, INC.",ITRK,1643988
"INSPIRED ENTERTAINMENT, INC.",INSE,1615063
"INSPIRED BUILDERS, INC.",ISRB,1509786
INTL FCSTONE INC.,INTL,913760
INTERGROUP CORP,INTG,69422
INSTEEL INDUSTRIES INC,IIIN,764401
"IES HOLDINGS, INC.",IESC,1048268
IEC ELECTRONICS CORP,IEC,49728
"HILLENBRAND, INC.",HI,1417398
HYPERDYNAMICS CORP,HDYNQ,937136
"HRG GROUP, INC.",HRG,109177
HOLOGIC INC,HOLX,859737
HEICO CORP,HEI,46619
"GRAND PERFECTA, INC.",GPIW,1550053
"GOLDEN MATRIX GROUP, INC.",GMGI,1437925
"GULFSLOPE ENERGY, INC.",GSPE,1341726
GRIFFON CORP,GFF,50725
GEE GROUP INC.,JOB,40570
FREEDOM LEAF INC.,FRLF,1581545
FIRST SAVINGS FINANCIAL GROUP INC,FSFG,1435508
FAIRWIND ENERGY INC.,FWDR,1603345
FUSE ENTERPRISES INC.,FSNT,1636051
FAIR ISAAC CORP,FICO,814547
F5 NETWORKS INC,FFIV,1048695
"ETHOS MEDIA NETWORK, INC.",EOMN,1585738
"EPOXY, INC.",EPXY,1428816
PORTSMOUTH SQUARE INC,PRSI,79661
PLEXUS CORP,PLXS,785786
PHOTRONICS INC,PLAB,810136
PHI GROUP INC,PHIL,704172
PANHANDLE OIL & GAS INC,PHX,315131
PACIFIC WEBWORKS INC,PWEB,1086303
"ONCOBIOLOGICS, INC.",ONS,1649989
OSHKOSH CORP,OSK,775158
OPTICAL CABLE CORP,OCC,1000230
ONCOSEC MEDICAL INC,ONCS,1444307
NUKKLEUS INC.,NUKK,1592782
"NEXEO SOLUTIONS, INC.",NXEO,1604416
NORDSON CORP,NDSN,72331
MIRAGE ENERGY CORP,MRGE,1623360
"MESSAGEBGONE, INC.",MSSB,1655349
"MAGYAR BANCORP, INC.",MGYR,1337068
"MYND ANALYTICS, INC.",MYND,822370
MTS SYSTEMS CORP,MTSC,68709
"MODEL N, INC.",MODN,1118417
MICROSEMI CORP,MSCC,310568
MICRON TECHNOLOGY INC,MU,723125
MERITOR INC,MTOR,1113256
MAXIMUS INC,MMS,1032220
MARINEMAX INC,HZO,1057060
"MALVERN BANCORP, INC.",MLVF,1550603
"LUVU BRANDS, INC.",LUVU,1374567
LUBYS INC,LUB,16099
"LUBOA GROUP, INC.",LBAO,1586452
LINDSAY CORP,LNN,836157
"LEE ENTERPRISES, INC",LEE,58361
"KUSH BOTTLES, INC.",KSHB,1604627
"KELVIN MEDICAL, INC.",KVMD,1679836
"TRUPAL MEDIA, INC.",TRMM,1662706
TORO CO,TTC,737758
TOLL BROTHERS INC,TOL,794170
TIMBERLAND BANCORP INC,TSBK,1046050
TFS FINANCIAL CORP,TFSL,1381668
TETRA TECH INC,TTEK,831641
SUMMIT NETWORKS INC.,SNTW,1619096
"SPORT ENDURANCE, INC.",SENZ,1471727
